input log file location, ./qnn-profiling-data.log
qnn-profile-viewer version, v2.47.0.260601114230
mllm version, 1
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
47175703048,EXECUTE,2143,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.5:OpId_1058 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.4:OpId_1239 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.1:OpId_1010 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.input_layernorm:OpId_31 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.2:OpId_276 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.3:OpId_1034 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.3:OpId_289 
47175703048,EXECUTE,109,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.5:OpId_1058 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.4:OpId_1239 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.1:OpId_1010 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.input_layernorm:OpId_31 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.2:OpId_276 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.3:OpId_1034 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.3:OpId_289 
47175703048,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.View.1:OpId_47 (cycles)
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,5676,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.q_proj.1:OpId_55 (cycles)
47175703048,EXECUTE,201,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,5383,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.5:OpId_107 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.4:OpId_1239 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.54:OpId_1086 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.0:OpId_824 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.1:OpId_847 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.7:OpId_341 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.0:OpId_1197 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.input_layernorm:OpId_31 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.6:OpId_328 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,163,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.5:OpId_107 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.0:OpId_1197 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.6:OpId_328 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.2:OpId_276 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.3:OpId_289 
47175703048,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.View.2:OpId_60 (cycles)
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,5899,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.q_proj.2:OpId_68 (cycles)
47175703048,EXECUTE,208,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,5667,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.5:OpId_107 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.0:OpId_1197 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.6:OpId_962 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.0:OpId_42 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.1:OpId_847 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.7:OpId_341 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.0:OpId_824 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.4:OpId_302 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.52:OpId_1062 
47175703048,EXECUTE,208,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.5:OpId_107 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.0:OpId_824 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.7:OpId_341 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.1:OpId_847 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.52:OpId_1062 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.3:OpId_289 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_proj.2:OpId_276 
47175703048,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.View.3:OpId_73 (cycles)
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
